Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-05,Parasite,2019,https://boxd.it/aaa,4.5,No,"Thriller, Favorites",2024-01-05
2024-02-11,Whiplash,2014,https://boxd.it/bbb,5,No,"Intense, Favorites",2024-02-11
2024-03-02,The Grand Budapest Hotel,2014,https://boxd.it/ccc,4,No,"Comfort, Wes Anderson",2024-03-02
2024-03-20,Blade Runner 2049,2017,https://boxd.it/ddd,4.5,No,Sci-Fi,2024-03-20
2024-04-14,Spirited Away,2001,https://boxd.it/eee,5,Yes,"Comfort, Animation",2024-04-14
2024-05-09,Pulp Fiction,1994,https://boxd.it/fff,4.5,No,Classics,2024-05-09
2024-06-01,The Dark Knight,2008,https://boxd.it/ggg,5,Yes,"Rewatch, Favorites",2024-06-01
2024-07-22,Everything Everywhere All at Once,2022,https://boxd.it/hhh,4,No,"Sci-Fi, Emotional",2024-07-22
2024-08-30,Heat,1995,https://boxd.it/iii,4,No,Crime,2024-08-30
2024-09-18,Her,2013,https://boxd.it/jjj,4.5,No,"Romance, Sci-Fi",2024-09-18
